source,target,boolean_expression,length
1,8,[[-1] + [-8 * 1] + [-2 * -12 * 1 * 8] + [-3 * -6 * 1 * 8 * 2] + [-3 * -6 * 1 * 8 * -2 * 12] + [-4 * -7 * 1 * 8 * 2 * 3] + [-4 * -7 * 1 * 8 * 2 * -3 * 6] + [-4 * -7 * 1 * 8 * -2 * 12 * 3] + [-4 * -7 * 1 * 8 * -2 * 12 * -3 * 6] + [-6 * -7 * 1 * 8 * 2 * 3 * 4] + [-6 * -7 * 1 * 8 * -2 * 12 * 3 * 4] + [-6 * -12 * 1 * 8 * 2 * 3 * 4 * 7] + [-6 * -12 * 1 * 8 * 2 * 3 * -4 * 7] + [-6 * -15 * 1 * 8 * 2 * 3 * 4 * 7 * 12] + [-6 * -15 * 1 * 8 * 2 * 3 * -4 * 7 * 12] + [-6 * -15 * 1 * 8 * -2 * 12 * 3 * 4 * 7] + [-6 * -15 * 1 * 8 * -2 * 12 * 3 * -4 * 7] + [0 * -5 * -14 * 1 * 8 * 2 * 3 * 4 * 6] + [0 * -5 * -14 * 1 * 8 * 2 * 3 * 4 * -6 * 7 * 12 * 15] + [0 * -5 * -14 * 1 * 8 * 2 * 3 * -4 * 7 * 6] + [0 * -5 * -14 * 1 * 8 * 2 * 3 * -4 * 7 * -6 * 12 * 15] + [0 * -5 * -14 * 1 * 8 * 2 * -3 * 6 * 4] + [0 * -5 * -14 * 1 * 8 * 2 * -3 * 6 * -4 * 7] + [0 * -5 * -14 * 1 * 8 * -2 * 12 * 3 * 4 * 6] + [0 * -5 * -14 * 1 * 8 * -2 * 12 * 3 * 4 * -6 * 7 * 15] + [0 * -5 * -14 * 1 * 8 * -2 * 12 * 3 * -4 * 7 * 6] + [0 * -5 * -14 * 1 * 8 * -2 * 12 * 3 * -4 * 7 * -6 * 15] + [0 * -5 * -14 * 1 * 8 * -2 * 12 * -3 * 6 * 4] + [0 * -5 * -14 * 1 * 8 * -2 * 12 * -3 * 6 * -4 * 7] + [0 * -9 * -14 * 1 * 8 * 2 * 3 * 4 * 6 * 5] + [0 * -9 * -14 * 1 * 8 * 2 * 3 * 4 * -6 * 7 * 12 * 15 * 5] + [0 * -9 * -14 * 1 * 8 * 2 * 3 * -4 * 7 * 6 * 5] + [0 * -9 * -14 * 1 * 8 * 2 * 3 * -4 * 7 * -6 * 12 * 15 * 5] + [0 * -9 * -14 * 1 * 8 * 2 * -3 * 6 * 4 * 5] + [0 * -9 * -14 * 1 * 8 * 2 * -3 * 6 * -4 * 7 * 5] + [0 * -9 * -14 * 1 * 8 * -2 * 12 * 3 * 4 * 6 * 5] + [0 * -9 * -14 * 1 * 8 * -2 * 12 * 3 * 4 * -6 * 7 * 15 * 5] + [0 * -9 * -14 * 1 * 8 * -2 * 12 * 3 * -4 * 7 * 6 * 5] + [0 * -9 * -14 * 1 * 8 * -2 * 12 * 3 * -4 * 7 * -6 * 15 * 5] + [0 * -9 * -14 * 1 * 8 * -2 * 12 * -3 * 6 * 4 * 5] + [0 * -9 * -14 * 1 * 8 * -2 * 12 * -3 * 6 * -4 * 7 * 5] + [0 * -12 * -14 * 1 * 8 * 2 * 3 * 4 * 6 * 5 * 9] + [0 * -12 * -14 * 1 * 8 * 2 * 3 * -4 * 7 * 6 * 5 * 9] + [0 * -12 * -14 * 1 * 8 * 2 * -3 * 6 * 4 * 5 * 9] + [0 * -12 * -14 * 1 * 8 * 2 * -3 * 6 * -4 * 7 * 5 * 9] + [0 * -14 * -16 * 1 * 8 * 2 * 3 * 4 * 6 * 5 * 9 * 12] + [0 * -14 * -16 * 1 * 8 * 2 * 3 * 4 * -6 * 7 * 12 * 15 * 5 * 9] + [0 * -14 * -16 * 1 * 8 * 2 * 3 * -4 * 7 * 6 * 5 * 9 * 12] + [0 * -14 * -16 * 1 * 8 * 2 * 3 * -4 * 7 * -6 * 12 * 15 * 5 * 9] + [0 * -14 * -16 * 1 * 8 * 2 * -3 * 6 * 4 * 5 * 9 * 12] + [0 * -14 * -16 * 1 * 8 * 2 * -3 * 6 * -4 * 7 * 5 * 9 * 12] + [0 * -14 * -16 * 1 * 8 * -2 * 12 * 3 * 4 * 6 * 5 * 9] + [0 * -14 * -16 * 1 * 8 * -2 * 12 * 3 * 4 * -6 * 7 * 15 * 5 * 9] + [0 * -14 * -16 * 1 * 8 * -2 * 12 * 3 * -4 * 7 * 6 * 5 * 9] + [0 * -14 * -16 * 1 * 8 * -2 * 12 * 3 * -4 * 7 * -6 * 15 * 5 * 9] + [0 * -14 * -16 * 1 * 8 * -2 * 12 * -3 * 6 * 4 * 5 * 9] + [0 * -14 * -16 * 1 * 8 * -2 * 12 * -3 * 6 * -4 * 7 * 5 * 9] + [-2 * -5 * -14 * 1 * 8 * 12 * 3 * 4 * 6 * 0] + [-2 * -5 * -14 * 1 * 8 * 12 * 3 * 4 * -6 * 7 * 15 * 0] + [-2 * -5 * -14 * 1 * 8 * 12 * 3 * -4 * 7 * 6 * 0] + [-2 * -5 * -14 * 1 * 8 * 12 * 3 * -4 * 7 * -6 * 15 * 0] + [-2 * -5 * -14 * 1 * 8 * 12 * -3 * 6 * 4 * 0] + [-2 * -5 * -14 * 1 * 8 * 12 * -3 * 6 * -4 * 7 * 0] + [-2 * -9 * -14 * 1 * 8 * 12 * 3 * 4 * 6 * 0 * 5] + [-2 * -9 * -14 * 1 * 8 * 12 * 3 * 4 * -6 * 7 * 15 * 0 * 5] + [-2 * -9 * -14 * 1 * 8 * 12 * 3 * -4 * 7 * 6 * 0 * 5] + [-2 * -9 * -14 * 1 * 8 * 12 * 3 * -4 * 7 * -6 * 15 * 0 * 5] + [-2 * -9 * -14 * 1 * 8 * 12 * -3 * 6 * 4 * 0 * 5] + [-2 * -9 * -14 * 1 * 8 * 12 * -3 * 6 * -4 * 7 * 0 * 5] + [-2 * -14 * -16 * 1 * 8 * 12 * 3 * 4 * 6 * 0 * 5 * 9] + [-2 * -14 * -16 * 1 * 8 * 12 * 3 * 4 * -6 * 7 * 15 * 0 * 5 * 9] + [-2 * -14 * -16 * 1 * 8 * 12 * 3 * -4 * 7 * 6 * 0 * 5 * 9] + [-2 * -14 * -16 * 1 * 8 * 12 * 3 * -4 * 7 * -6 * 15 * 0 * 5 * 9] + [-2 * -14 * -16 * 1 * 8 * 12 * -3 * 6 * 4 * 0 * 5 * 9] + [-2 * -14 * -16 * 1 * 8 * 12 * -3 * 6 * -4 * 7 * 0 * 5 * 9] + [-5 * -13 * -14 * 1 * 8 * 2 * 3 * 4 * 6 * 0] + [-5 * -13 * -14 * 1 * 8 * 2 * 3 * 4 * -6 * 7 * 12 * 15 * 0] + [-5 * -13 * -14 * 1 * 8 * 2 * 3 * -4 * 7 * 6 * 0] + [-5 * -13 * -14 * 1 * 8 * 2 * 3 * -4 * 7 * -6 * 12 * 15 * 0] + [-5 * -13 * -14 * 1 * 8 * 2 * -3 * 6 * 4 * 0] + [-5 * -13 * -14 * 1 * 8 * 2 * -3 * 6 * -4 * 7 * 0] + [-9 * -13 * -14 * 1 * 8 * 2 * 3 * 4 * 6 * 0 * 5] + [-9 * -13 * -14 * 1 * 8 * 2 * 3 * 4 * -6 * 7 * 12 * 15 * 0 * 5] + [-9 * -13 * -14 * 1 * 8 * 2 * 3 * -4 * 7 * 6 * 0 * 5] + [-9 * -13 * -14 * 1 * 8 * 2 * 3 * -4 * 7 * -6 * 12 * 15 * 0 * 5] + [-9 * -13 * -14 * 1 * 8 * 2 * -3 * 6 * 4 * 0 * 5] + [-9 * -13 * -14 * 1 * 8 * 2 * -3 * 6 * -4 * 7 * 0 * 5] + [-12 * -13 * -14 * 1 * 8 * 2 * 3 * 4 * 6 * 0 * 5 * 9] + [-12 * -13 * -14 * 1 * 8 * 2 * 3 * -4 * 7 * 6 * 0 * 5 * 9] + [-12 * -13 * -14 * 1 * 8 * 2 * -3 * 6 * 4 * 0 * 5 * 9] + [-12 * -13 * -14 * 1 * 8 * 2 * -3 * 6 * -4 * 7 * 0 * 5 * 9] + [-13 * -14 * -16 * 1 * 8 * 2 * 3 * 4 * 6 * 0 * 5 * 9 * 12] + [-13 * -14 * -16 * 1 * 8 * 2 * 3 * 4 * -6 * 7 * 12 * 15 * 0 * 5 * 9] + [-13 * -14 * -16 * 1 * 8 * 2 * 3 * -4 * 7 * 6 * 0 * 5 * 9 * 12] + [-13 * -14 * -16 * 1 * 8 * 2 * 3 * -4 * 7 * -6 * 12 * 15 * 0 * 5 * 9] + [-13 * -14 * -16 * 1 * 8 * 2 * -3 * 6 * 4 * 0 * 5 * 9 * 12] + [-13 * -14 * -16 * 1 * 8 * 2 * -3 * 6 * -4 * 7 * 0 * 5 * 9 * 12]],97
1,9,[[-1] + [-9 * 1] + [0 * -5 * -14 * 1 * 9] + [-2 * -5 * -14 * 1 * 9 * 0] + [-5 * -12 * -14 * 1 * 9 * 0 * 2] + [-5 * -13 * -14 * 1 * 9 * 0 * 2 * 12] + [-5 * -14 * -16 * 1 * 9 * 0 * 2 * 12 * 13]],7
1,10,[[-1] + [-10 * 1] + [-9 * -12 * 1 * 10] + [-9 * -16 * 1 * 10 * 12] + [-11 * -16 * 1 * 10 * 9] + [0 * -5 * -14 * 1 * 10 * 9 * 11] + [0 * -5 * -14 * 1 * 10 * 9 * -11 * 16] + [0 * -5 * -14 * 1 * 10 * -9 * 12 * 16] + [0 * -9 * -14 * 1 * 10 * 12 * 16 * 5] + [-2 * -5 * -14 * 1 * 10 * 9 * 11 * 0] + [-2 * -5 * -14 * 1 * 10 * 9 * -11 * 16 * 0] + [-2 * -5 * -14 * 1 * 10 * -9 * 12 * 16 * 0] + [-2 * -9 * -14 * 1 * 10 * 12 * 16 * 0 * 5] + [-5 * -12 * -14 * 1 * 10 * 9 * 11 * 0 * 2] + [-5 * -12 * -14 * 1 * 10 * 9 * -11 * 16 * 0 * 2] + [-5 * -13 * -14 * 1 * 10 * 9 * 11 * 0 * 2 * 12] + [-5 * -13 * -14 * 1 * 10 * 9 * -11 * 16 * 0 * 2 * 12] + [-5 * -13 * -14 * 1 * 10 * -9 * 12 * 16 * 0 * 2] + [-5 * -14 * -16 * 1 * 10 * 9 * 11 * 0 * 2 * 12 * 13] + [-9 * -13 * -14 * 1 * 10 * 12 * 16 * 0 * 2 * 5]],20
1,11,[[-1] + [-11 * 1] + [-9 * -10 * 1 * 11] + [-9 * -12 * 1 * 11 * 10] + [-9 * -16 * 1 * 11 * 10 * 12] + [0 * -5 * -14 * 1 * 11 * 9] + [0 * -5 * -14 * 1 * 11 * -9 * 10 * 12 * 16] + [0 * -9 * -14 * 1 * 11 * 10 * 12 * 16 * 5] + [-2 * -5 * -14 * 1 * 11 * 9 * 0] + [-2 * -5 * -14 * 1 * 11 * -9 * 10 * 12 * 16 * 0] + [-2 * -9 * -14 * 1 * 11 * 10 * 12 * 16 * 0 * 5] + [-5 * -12 * -14 * 1 * 11 * 9 * 0 * 2] + [-5 * -13 * -14 * 1 * 11 * 9 * 0 * 2 * 12] + [-5 * -13 * -14 * 1 * 11 * -9 * 10 * 12 * 16 * 0 * 2] + [-5 * -14 * -16 * 1 * 11 * 9 * 0 * 2 * 12 * 13] + [-9 * -13 * -14 * 1 * 11 * 10 * 12 * 16 * 0 * 2 * 5]],16
1,12,[[-1] + [-12 * 1] + [0 * -5 * -14 * 1 * 12] + [0 * -9 * -14 * 1 * 12 * 5] + [0 * -14 * -16 * 1 * 12 * 5 * 9] + [-2 * -5 * -14 * 1 * 12 * 0] + [-2 * -9 * -14 * 1 * 12 * 0 * 5] + [-2 * -14 * -16 * 1 * 12 * 0 * 5 * 9] + [-5 * -13 * -14 * 1 * 12 * 0 * 2] + [-9 * -13 * -14 * 1 * 12 * 0 * 2 * 5] + [-13 * -14 * -16 * 1 * 12 * 0 * 2 * 5 * 9]],11
1,13,[[-1] + [-13 * 1]],2
1,14,[[-1] + [-14 * 1]],2
1,15,[[-1] + [-15 * 1] + [-2 * -12 * 1 * 15] + [-3 * -6 * 1 * 15 * 2] + [-3 * -6 * 1 * 15 * -2 * 12] + [-3 * -7 * 1 * 15 * 2 * 6] + [-3 * -7 * 1 * 15 * -2 * 12 * 6] + [-6 * -12 * 1 * 15 * 2 * 3] + [-7 * -12 * 1 * 15 * 2 * 3 * 6] + [0 * -5 * -14 * 1 * 15 * 2 * 3 * 6 * 7] + [0 * -5 * -14 * 1 * 15 * 2 * 3 * 6 * -7 * 12] + [0 * -5 * -14 * 1 * 15 * 2 * 3 * -6 * 12] + [0 * -5 * -14 * 1 * 15 * 2 * -3 * 6 * 7] + [0 * -5 * -14 * 1 * 15 * -2 * 12 * 3] + [0 * -5 * -14 * 1 * 15 * -2 * 12 * -3 * 6 * 7] + [0 * -9 * -14 * 1 * 15 * 2 * 3 * 6 * 7 * 5] + [0 * -9 * -14 * 1 * 15 * 2 * 3 * 6 * -7 * 12 * 5] + [0 * -9 * -14 * 1 * 15 * 2 * 3 * -6 * 12 * 5] + [0 * -9 * -14 * 1 * 15 * 2 * -3 * 6 * 7 * 5] + [0 * -9 * -14 * 1 * 15 * -2 * 12 * 3 * 5] + [0 * -9 * -14 * 1 * 15 * -2 * 12 * -3 * 6 * 7 * 5] + [0 * -12 * -14 * 1 * 15 * 2 * 3 * 6 * 7 * 5 * 9] + [0 * -12 * -14 * 1 * 15 * 2 * -3 * 6 * 7 * 5 * 9] + [0 * -14 * -16 * 1 * 15 * 2 * 3 * 6 * 7 * 5 * 9 * 12] + [0 * -14 * -16 * 1 * 15 * 2 * 3 * 6 * -7 * 12 * 5 * 9] + [0 * -14 * -16 * 1 * 15 * 2 * 3 * -6 * 12 * 5 * 9] + [0 * -14 * -16 * 1 * 15 * 2 * -3 * 6 * 7 * 5 * 9 * 12] + [0 * -14 * -16 * 1 * 15 * -2 * 12 * 3 * 5 * 9] + [0 * -14 * -16 * 1 * 15 * -2 * 12 * -3 * 6 * 7 * 5 * 9] + [-2 * -5 * -14 * 1 * 15 * 12 * 3 * 0] + [-2 * -5 * -14 * 1 * 15 * 12 * -3 * 6 * 7 * 0] + [-2 * -9 * -14 * 1 * 15 * 12 * 3 * 0 * 5] + [-2 * -9 * -14 * 1 * 15 * 12 * -3 * 6 * 7 * 0 * 5] + [-2 * -14 * -16 * 1 * 15 * 12 * 3 * 0 * 5 * 9] + [-2 * -14 * -16 * 1 * 15 * 12 * -3 * 6 * 7 * 0 * 5 * 9] + [-5 * -13 * -14 * 1 * 15 * 2 * 3 * 6 * 7 * 0] + [-5 * -13 * -14 * 1 * 15 * 2 * 3 * 6 * -7 * 12 * 0] + [-5 * -13 * -14 * 1 * 15 * 2 * 3 * -6 * 12 * 0] + [-5 * -13 * -14 * 1 * 15 * 2 * -3 * 6 * 7 * 0] + [-9 * -13 * -14 * 1 * 15 * 2 * 3 * 6 * 7 * 0 * 5] + [-9 * -13 * -14 * 1 * 15 * 2 * 3 * 6 * -7 * 12 * 0 * 5] + [-9 * -13 * -14 * 1 * 15 * 2 * 3 * -6 * 12 * 0 * 5] + [-9 * -13 * -14 * 1 * 15 * 2 * -3 * 6 * 7 * 0 * 5] + [-12 * -13 * -14 * 1 * 15 * 2 * 3 * 6 * 7 * 0 * 5 * 9] + [-12 * -13 * -14 * 1 * 15 * 2 * -3 * 6 * 7 * 0 * 5 * 9] + [-13 * -14 * -16 * 1 * 15 * 2 * 3 * 6 * 7 * 0 * 5 * 9 * 12] + [-13 * -14 * -16 * 1 * 15 * 2 * 3 * 6 * -7 * 12 * 0 * 5 * 9] + [-13 * -14 * -16 * 1 * 15 * 2 * 3 * -6 * 12 * 0 * 5 * 9] + [-13 * -14 * -16 * 1 * 15 * 2 * -3 * 6 * 7 * 0 * 5 * 9 * 12]],49
1,16,[[-1] + [-16 * 1] + [-9 * -12 * 1 * 16] + [0 * -5 * -14 * 1 * 16 * 9] + [0 * -5 * -14 * 1 * 16 * -9 * 12] + [0 * -9 * -14 * 1 * 16 * 12 * 5] + [-2 * -5 * -14 * 1 * 16 * 9 * 0] + [-2 * -5 * -14 * 1 * 16 * -9 * 12 * 0] + [-2 * -9 * -14 * 1 * 16 * 12 * 0 * 5] + [-5 * -12 * -14 * 1 * 16 * 9 * 0 * 2] + [-5 * -13 * -14 * 1 * 16 * 9 * 0 * 2 * 12] + [-5 * -13 * -14 * 1 * 16 * -9 * 12 * 0 * 2] + [-9 * -13 * -14 * 1 * 16 * 12 * 0 * 2 * 5]],13
2,3,[[-3] + [-6 * -12 * 3] + [-7 * -12 * 3 * 6] + [-12 * -15 * 3 * 6 * 7]],4
2,4,[[-2] + [-4 * 2] + [-3 * -6 * 2 * 4] + [-6 * -7 * 2 * 4 * 3] + [-6 * -8 * 2 * 4 * 3 * 7] + [-6 * -12 * 2 * 4 * 3 * 7 * 8] + [-6 * -15 * 2 * 4 * 3 * 7 * 8 * 12]],7
2,5,[[-2] + [-5 * 2] + [-1 * -9 * 2 * 5] + [0 * -9 * -14 * 2 * 5 * 1] + [0 * -12 * -14 * 2 * 5 * 1 * 9] + [0 * -12 * -14 * 2 * 5 * -1 * 9] + [0 * -14 * -16 * 2 * 5 * 1 * 9 * 12] + [0 * -14 * -16 * 2 * 5 * -1 * 9 * 12] + [-1 * -12 * -14 * 2 * 5 * 9 * 0] + [-1 * -14 * -16 * 2 * 5 * 9 * 0 * 12] + [-9 * -13 * -14 * 2 * 5 * 1 * 0] + [-12 * -13 * -14 * 2 * 5 * 1 * 0 * 9] + [-13 * -14 * -16 * 2 * 5 * 1 * 0 * 9 * 12]],13
2,6,[[-2] + [-6 * 2]],2
2,7,[[-2] + [-7 * 2] + [-3 * -6 * 2 * 7] + [-6 * -12 * 2 * 7 * 3] + [-6 * -15 * 2 * 7 * 3 * 12]],5
2,8,[[-2] + [-8 * 2] + [-3 * -6 * 2 * 8] + [-4 * -7 * 2 * 8 * 3] + [-4 * -7 * 2 * 8 * -3 * 6] + [-6 * -7 * 2 * 8 * 3 * 4] + [-6 * -12 * 2 * 8 * 3 * 4 * 7] + [-6 * -12 * 2 * 8 * 3 * -4 * 7] + [-6 * -15 * 2 * 8 * 3 * 4 * 7 * 12] + [-6 * -15 * 2 * 8 * 3 * -4 * 7 * 12]],10
2,9,[[-2] + [-9 * 2] + [0 * -12 * -14 * 2 * 9] + [0 * -14 * -16 * 2 * 9 * 12] + [-1 * -12 * -14 * 2 * 9 * 0] + [-1 * -14 * -16 * 2 * 9 * 0 * 12] + [-5 * -12 * -14 * 2 * 9 * 0 * 1] + [-5 * -14 * -16 * 2 * 9 * 0 * 1 * 12] + [-12 * -13 * -14 * 2 * 9 * 0 * 1 * 5] + [-13 * -14 * -16 * 2 * 9 * 0 * 1 * 5 * 12]],10
2,10,[[-2] + [-10 * 2] + [-9 * -12 * 2 * 10] + [-9 * -16 * 2 * 10 * 12] + [-11 * -16 * 2 * 10 * 9] + [0 * -12 * -14 * 2 * 10 * 9 * 11] + [0 * -12 * -14 * 2 * 10 * 9 * -11 * 16] + [0 * -14 * -16 * 2 * 10 * 9 * 11 * 12] + [-1 * -12 * -14 * 2 * 10 * 9 * 11 * 0] + [-1 * -12 * -14 * 2 * 10 * 9 * -11 * 16 * 0] + [-1 * -14 * -16 * 2 * 10 * 9 * 11 * 0 * 12] + [-5 * -12 * -14 * 2 * 10 * 9 * 11 * 0 * 1] + [-5 * -12 * -14 * 2 * 10 * 9 * -11 * 16 * 0 * 1] + [-5 * -14 * -16 * 2 * 10 * 9 * 11 * 0 * 1 * 12] + [-12 * -13 * -14 * 2 * 10 * 9 * 11 * 0 * 1 * 5] + [-12 * -13 * -14 * 2 * 10 * 9 * -11 * 16 * 0 * 1 * 5] + [-13 * -14 * -16 * 2 * 10 * 9 * 11 * 0 * 1 * 5 * 12]],17
2,11,[[-2] + [-11 * 2] + [-9 * -10 * 2 * 11] + [-9 * -12 * 2 * 11 * 10] + [-9 * -16 * 2 * 11 * 10 * 12] + [0 * -12 * -14 * 2 * 11 * 9] + [0 * -14 * -16 * 2 * 11 * 9 * 12] + [-1 * -12 * -14 * 2 * 11 * 9 * 0] + [-1 * -14 * -16 * 2 * 11 * 9 * 0 * 12] + [-5 * -12 * -14 * 2 * 11 * 9 * 0 * 1] + [-5 * -14 * -16 * 2 * 11 * 9 * 0 * 1 * 12] + [-12 * -13 * -14 * 2 * 11 * 9 * 0 * 1 * 5] + [-13 * -14 * -16 * 2 * 11 * 9 * 0 * 1 * 5 * 12]],13
2,12,[[-2] + [-12 * 2]],2
2,13,[[-2] + [-13 * 2] + [0 * -1 * -14 * 2 * 13] + [0 * -5 * -14 * 2 * 13 * 1] + [0 * -9 * -14 * 2 * 13 * 1 * 5] + [0 * -12 * -14 * 2 * 13 * 1 * 5 * 9] + [0 * -14 * -16 * 2 * 13 * 1 * 5 * 9 * 12]],7
2,14,[[-2] + [-14 * 2]],2
2,15,[[-2] + [-15 * 2] + [-3 * -6 * 2 * 15] + [-3 * -7 * 2 * 15 * 6] + [-6 * -12 * 2 * 15 * 3] + [-7 * -12 * 2 * 15 * 3 * 6]],6
2,16,[[-2] + [-16 * 2] + [-9 * -12 * 2 * 16] + [0 * -12 * -14 * 2 * 16 * 9] + [-1 * -12 * -14 * 2 * 16 * 9 * 0] + [-5 * -12 * -14 * 2 * 16 * 9 * 0 * 1] + [-12 * -13 * -14 * 2 * 16 * 9 * 0 * 1 * 5]],7
3,4,[[-4] + [-6 * -7 * 4] + [-6 * -8 * 4 * 7] + [-6 * -15 * 4 * 7 * 8] + [-7 * -12 * 4 * 6] + [-12 * -15 * 4 * 6 * 7]],6
3,5,[[-3] + [-5 * 3] + [-1 * -9 * 3 * 5] + [-2 * -12 * 3 * 5 * 1] + [-2 * -12 * 3 * 5 * -1 * 9] + [-6 * -12 * 3 * 5 * 1 * 2] + [-6 * -12 * 3 * 5 * -1 * 9 * 2] + [-7 * -12 * 3 * 5 * 1 * 2 * 6] + [-7 * -12 * 3 * 5 * -1 * 9 * 2 * 6] + [-12 * -15 * 3 * 5 * 1 * 2 * 6 * 7] + [-12 * -15 * 3 * 5 * -1 * 9 * 2 * 6 * 7] + [0 * -9 * -14 * 3 * 5 * 1 * 2 * 6 * 7 * 12] + [0 * -9 * -14 * 3 * 5 * 1 * 2 * 6 * 7 * -12 * 15] + [0 * -9 * -14 * 3 * 5 * 1 * 2 * 6 * -7 * 12] + [0 * -9 * -14 * 3 * 5 * 1 * 2 * -6 * 12] + [0 * -9 * -14 * 3 * 5 * 1 * -2 * 12] + [0 * -12 * -14 * 3 * 5 * 1 * 2 * 6 * 7 * 15 * 9] + [0 * -12 * -14 * 3 * 5 * -1 * 9 * 2 * 6 * 7 * 15] + [0 * -14 * -16 * 3 * 5 * 1 * 2 * 6 * 7 * 12 * 9] + [0 * -14 * -16 * 3 * 5 * 1 * 2 * 6 * -7 * 12 * 9] + [0 * -14 * -16 * 3 * 5 * 1 * 2 * -6 * 12 * 9] + [0 * -14 * -16 * 3 * 5 * 1 * -2 * 12 * 9] + [0 * -14 * -16 * 3 * 5 * -1 * 9 * 2 * 6 * 7 * 12] + [0 * -14 * -16 * 3 * 5 * -1 * 9 * 2 * 6 * -7 * 12] + [0 * -14 * -16 * 3 * 5 * -1 * 9 * 2 * -6 * 12] + [0 * -14 * -16 * 3 * 5 * -1 * 9 * -2 * 12] + [-1 * -12 * -14 * 3 * 5 * 9 * 2 * 6 * 7 * 15 * 0] + [-1 * -14 * -16 * 3 * 5 * 9 * 2 * 6 * 7 * 12 * 0] + [-1 * -14 * -16 * 3 * 5 * 9 * 2 * 6 * -7 * 12 * 0] + [-1 * -14 * -16 * 3 * 5 * 9 * 2 * -6 * 12 * 0] + [-1 * -14 * -16 * 3 * 5 * 9 * -2 * 12 * 0] + [-2 * -9 * -14 * 3 * 5 * 1 * 12 * 0] + [-2 * -14 * -16 * 3 * 5 * 1 * 12 * 0 * 9] + [-9 * -13 * -14 * 3 * 5 * 1 * 2 * 6 * 7 * 12 * 0] + [-9 * -13 * -14 * 3 * 5 * 1 * 2 * 6 * 7 * -12 * 15 * 0] + [-9 * -13 * -14 * 3 * 5 * 1 * 2 * 6 * -7 * 12 * 0] + [-9 * -13 * -14 * 3 * 5 * 1 * 2 * -6 * 12 * 0] + [-12 * -13 * -14 * 3 * 5 * 1 * 2 * 6 * 7 * 15 * 0 * 9] + [-13 * -14 * -16 * 3 * 5 * 1 * 2 * 6 * 7 * 12 * 0 * 9] + [-13 * -14 * -16 * 3 * 5 * 1 * 2 * 6 * -7 * 12 * 0 * 9] + [-13 * -14 * -16 * 3 * 5 * 1 * 2 * -6 * 12 * 0 * 9]],41
3,6,[[-3] + [-6 * 3] + [-7 * -12 * 3 * 6] + [-12 * -15 * 3 * 6 * 7]],4
3,7,[[-3] + [-7 * 3] + [-6 * -15 * 3 * 7] + [-12 * -15 * 3 * 7 * 6]],4
3,8,[[-3] + [-8 * 3] + [-4 * -7 * 3 * 8] + [-6 * -7 * 3 * 8 * 4] + [-6 * -15 * 3 * 8 * 4 * 7] + [-6 * -15 * 3 * 8 * -4 * 7] + [-7 * -12 * 3 * 8 * 4 * 6] + [-12 * -15 * 3 * 8 * 4 * 6 * 7] + [-12 * -15 * 3 * 8 * -4 * 7 * 6]],9
3,9,[[-3] + [-9 * 3] + [-2 * -12 * 3 * 9] + [-6 * -12 * 3 * 9 * 2] + [-7 * -12 * 3 * 9 * 2 * 6] + [-12 * -15 * 3 * 9 * 2 * 6 * 7] + [0 * -12 * -14 * 3 * 9 * 2 * 6 * 7 * 15] + [0 * -14 * -16 * 3 * 9 * 2 * 6 * 7 * 12] + [0 * -14 * -16 * 3 * 9 * 2 * 6 * -7 * 12] + [0 * -14 * -16 * 3 * 9 * 2 * -6 * 12] + [0 * -14 * -16 * 3 * 9 * -2 * 12] + [-1 * -12 * -14 * 3 * 9 * 2 * 6 * 7 * 15 * 0] + [-1 * -14 * -16 * 3 * 9 * 2 * 6 * 7 * 12 * 0] + [-1 * -14 * -16 * 3 * 9 * 2 * 6 * -7 * 12 * 0] + [-1 * -14 * -16 * 3 * 9 * 2 * -6 * 12 * 0] + [-1 * -14 * -16 * 3 * 9 * -2 * 12 * 0] + [-2 * -14 * -16 * 3 * 9 * 12 * 0 * 1] + [-5 * -12 * -14 * 3 * 9 * 2 * 6 * 7 * 15 * 0 * 1] + [-5 * -14 * -16 * 3 * 9 * 2 * 6 * 7 * 12 * 0 * 1] + [-5 * -14 * -16 * 3 * 9 * 2 * 6 * -7 * 12 * 0 * 1] + [-5 * -14 * -16 * 3 * 9 * 2 * -6 * 12 * 0 * 1] + [-12 * -13 * -14 * 3 * 9 * 2 * 6 * 7 * 15 * 0 * 1 * 5] + [-13 * -14 * -16 * 3 * 9 * 2 * 6 * 7 * 12 * 0 * 1 * 5] + [-13 * -14 * -16 * 3 * 9 * 2 * 6 * -7 * 12 * 0 * 1 * 5] + [-13 * -14 * -16 * 3 * 9 * 2 * -6 * 12 * 0 * 1 * 5]],25
